NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Funder Type,Study Type,Study Design,Adult,Older Adult,Child,,,
NCT03756298,Efficacy and Safety of Atezolizumab Plus Capecitabine Adjuvant Therapy for Triple Receptor-Negative Breast Cancer,https://clinicaltrials.gov/study/NCT03756298,ACTIVE_NOT_RECRUITING,Triple Negative Breast Cancer,DRUG: Atezolizumab|DRUG: Capecitabine,"National Cancer Center, Korea",None listed,ALL,"ADULT, OLDER_ADULT",PHASE2,284,OTHER_GOV,INTERVENTIONAL,"Allocation: RANDOMIZED | Intervention Model: PARALLEL | Masking: TRIPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR) | Primary Purpose: TREATMENT",1,1,0,,,
NCT06327698,Cadonilimab in Combination With Anlotinib in the Treatment of Locally Progressive or Metastatic Melanoma With First-Line Therapy Failure,https://clinicaltrials.gov/study/NCT06327698,NOT_YET_RECRUITING,Melanoma,DRUG: Cadonilimab|DRUG: anlotinib,Hunan Cancer Hospital,None listed,ALL,"ADULT, OLDER_ADULT",PHASE2,30,OTHER,INTERVENTIONAL,Allocation: NA | Intervention Model: SINGLE_GROUP | Masking: NONE | Primary Purpose: TREATMENT,1,1,0,,,
NCT07192614,"A Study to Learn How Safe AZD6621 is, How Well it Works, and How it Moves Throughout the Body Over Time, in Adult Male Participants With Metastatic Prostate Cancer",https://clinicaltrials.gov/study/NCT07192614,RECRUITING,Prostate Cancer,DRUG: AZD6621,AstraZeneca,None listed,MALE,"ADULT, OLDER_ADULT",PHASE1|PHASE2,52,INDUSTRY,INTERVENTIONAL,Allocation: RANDOMIZED | Intervention Model: SEQUENTIAL | Masking: NONE | Primary Purpose: TREATMENT,1,1,0,,,182.8725
NCT06105684,Phase II Single Arm Trial of Low Dose Capecitabine in Patients With Advanced Breast Cancer,https://clinicaltrials.gov/study/NCT06105684,RECRUITING,Metastatic Breast Cancer,DRUG: Capecitabine Pill,University of Alabama at Birmingham,None listed,FEMALE,"ADULT, OLDER_ADULT",PHASE2,40,OTHER,INTERVENTIONAL,Allocation: NA | Intervention Model: SINGLE_GROUP | Masking: NONE | Primary Purpose: TREATMENT,1,1,0,,,
NCT06855849,"An Open-label, Single-arm, Multicenter Phase II Study to Evaluate the Efficacy of Amivantamab in Combination With FOLFIRI as a Second-line Treatment in Patients With RAS/BRAF Wild-type Advanced Colorectal Cancer Progressing on Prior Anti-EGFR Based Treatment.",https://clinicaltrials.gov/study/NCT06855849,NOT_YET_RECRUITING,RAS/BRAF Wild-type Advanced Colorectal Cancer Patients,DRUG: Amivantamab + FOLFIRI,Yonsei University,None listed,ALL,"ADULT, OLDER_ADULT",PHASE2,85,OTHER,INTERVENTIONAL,Allocation: NA | Intervention Model: SINGLE_GROUP | Masking: NONE | Primary Purpose: TREATMENT,1,1,0,,,
NCT07789158,Induction Chemotherapy Response-Guided Reduced-Dose Radiotherapy for Nasopharyngeal Carcinoma,https://clinicaltrials.gov/study/NCT07789158,NOT_YET_RECRUITING,Nasopharyngeal Carcinoma (NPC),RADIATION: reduced dose group|RADIATION: Standard Dose Group|OTHER: concurrent chemoradiotherapy,Fudan University,None listed,ALL,"ADULT, OLDER_ADULT",PHASE2,269,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED | Intervention Model: PARALLEL | Masking: NONE | Primary Purpose: TREATMENT,1,1,0,,,
NCT03591276,Phase 1b Study of Pegylated Liposomal Doxorubicin and Pembrolizumab in Endocrine-resistant Breast Cancer,https://clinicaltrials.gov/study/NCT03591276,RECRUITING,Metastatic Breast Cancer,"DRUG: Chemotherapy Drugs, Cancer",Shaare Zedek Medical Center,None listed,FEMALE,"ADULT, OLDER_ADULT",PHASE1|PHASE2,15,OTHER,INTERVENTIONAL,Allocation: NA | Intervention Model: SINGLE_GROUP | Masking: NONE | Primary Purpose: TREATMENT,1,1,0,,,
NCT06838676,ACT001 for the Treatment of Diffuse Intrinsic Pontine Gliomas and H3K27-altered High Grade Gliomas,https://clinicaltrials.gov/study/NCT06838676,RECRUITING,Diffuse Intrinsic Pontine Gliomas (DIPG)|Progressive DIPG|Refractory DIPG|Recurrent DIPG|H3K27-altered High Grade Glioma,DRUG: ACT001,Nationwide Children's Hospital,Accendatech USA Inc.,ALL,"CHILD, ADULT",PHASE2,60,OTHER,INTERVENTIONAL,Allocation: NON_RANDOMIZED | Intervention Model: SINGLE_GROUP | Masking: NONE | Primary Purpose: TREATMENT,1,0,1,,,
NCT07471789,Safety and Efficacy of GYA01 (CART84) in Relapsed/Refractory (R/R) Acute Myeloid Leukemia (AML) and Acute Lymphoblastic T Leukemia Patients (T-ALL).,https://clinicaltrials.gov/study/NCT07471789,RECRUITING,"Acute Myeloblastic Leukaemia|Leukemia, T-Cell",DRUG: CART84,Gyala Therapeutics,"Astrum CRO, S.L.",ALL,"ADULT, OLDER_ADULT",PHASE1|PHASE2,33,INDUSTRY,INTERVENTIONAL,Allocation: NA | Intervention Model: SINGLE_GROUP | Masking: NONE | Primary Purpose: TREATMENT,1,1,0,,,
NCT05229497,A Phase Ib/II Study of AK112 in Combination With AK117 in Advanced Malignant Tumors,https://clinicaltrials.gov/study/NCT05229497,ACTIVE_NOT_RECRUITING,Advanced Malignant Tumors,DRUG: AK112|DRUG: AK117|DRUG: Carboplatin|DRUG: Cisplatin|DRUG: 5-Fluorouracil|DRUG: Gemcitabine,Akeso,None listed,ALL,"ADULT, OLDER_ADULT",PHASE1|PHASE2,154,INDUSTRY,INTERVENTIONAL,Allocation: NON_RANDOMIZED | Intervention Model: SINGLE_GROUP | Masking: NONE | Primary Purpose: TREATMENT,1,1,0,,,
NCT06404697,Boost Irradiation to the Supraclavicular Area Among High Risk cN3c Breast Cancer Patients,https://clinicaltrials.gov/study/NCT06404697,RECRUITING,Breast Cancer,RADIATION: Boost irradiation,Ruijin Hospital,None listed,FEMALE,"ADULT, OLDER_ADULT",PHASE2,24,OTHER,INTERVENTIONAL,Allocation: NA | Intervention Model: SINGLE_GROUP | Masking: NONE | Primary Purpose: TREATMENT,1,1,0,,,
NCT07261163,"Obinutuzumab, Zanubrutinib, and Lenalidomide in First-line Treatment of Mantle Cell Lymphoma",https://clinicaltrials.gov/study/NCT07261163,RECRUITING,Mantle Cell Lymphoma,DRUG: Zanubrutinib|DRUG: Obinutuzumab|DRUG: Lenalidomide|OTHER: CAR-T Cell Therapy,"Institute of Hematology & Blood Diseases Hospital, China",None listed,ALL,"ADULT, OLDER_ADULT",PHASE2,37,OTHER,INTERVENTIONAL,Allocation: NA | Intervention Model: SINGLE_GROUP | Masking: NONE | Primary Purpose: TREATMENT,1,1,0,,,
NCT06665087,CGA Guided Ultrafractionated RT and First-line Systemic Treatment in Elderly or Frail Patients with MCRC,https://clinicaltrials.gov/study/NCT06665087,NOT_YET_RECRUITING,Colon Cancer|Rectal Cancer,DRUG: Ultrafractionated RT and CGA Guided systemic treatment.|RADIATION: Ultrafractionated Radiotherapy|DRUG: PD-1 antibody|DRUG: Chemotherapy (Fluorouracil)|DRUG: Chemotherapy (Raltitrexed)|DRUG: Chemotherapy (Oxaliplatin)|DRUG: Chemotherapy (CPT-11)|DRUG: Targeted Therapy (anti-VEGF)|DRUG: Targeted Therapy (anti-EGFR),Fudan University,None listed,ALL,"ADULT, OLDER_ADULT",PHASE2,110,OTHER,INTERVENTIONAL,Allocation: NON_RANDOMIZED | Intervention Model: PARALLEL | Masking: NONE | Primary Purpose: TREATMENT,1,1,0,,,
NCT06474806,"Safety and Diagnostic Performance of uPAR PET Imaging in Localised, Untreated Prostate Cancer",https://clinicaltrials.gov/study/NCT06474806,RECRUITING,Prostate Cancer,DRUG: 64Cu-DOTA-AE105,Curasight,ABX CRO,MALE,"ADULT, OLDER_ADULT",PHASE2,168,INDUSTRY,INTERVENTIONAL,Allocation: RANDOMIZED | Intervention Model: PARALLEL | Masking: NONE | Primary Purpose: DIAGNOSTIC,1,1,0,,,
NCT07297004,Stereotactic Body Radiation Therapy for Unresectable Locally Recurrent Rectal Cancer,https://clinicaltrials.gov/study/NCT07297004,RECRUITING,Unresectable Locally Recurrent Rectal Cancer,RADIATION: Stereotactic Body Radiation Therapy (SBRT),"Sixth Affiliated Hospital, Sun Yat-sen University",None listed,ALL,"ADULT, OLDER_ADULT",PHASE2,20,OTHER,INTERVENTIONAL,Allocation: NA | Intervention Model: SINGLE_GROUP | Masking: NONE | Primary Purpose: TREATMENT,1,1,0,,,
NCT07376538,Response-Based Local Therapy for Regionally Advanced Breast Cancer,https://clinicaltrials.gov/study/NCT07376538,RECRUITING,Breast Cancer,RADIATION: Response-adapted comprehensive treatment strategy,"Cancer Institute and Hospital, Chinese Academy of Medical Sciences",None listed,FEMALE,"ADULT, OLDER_ADULT",PHASE2,157,OTHER,INTERVENTIONAL,Allocation: NA | Intervention Model: SINGLE_GROUP | Masking: NONE | Primary Purpose: TREATMENT,1,1,0,,,
NCT01436968,Phase 3 Study of ProstAtak® Immunotherapy With Standard Radiation Therapy for Localized Prostate Cancer,https://clinicaltrials.gov/study/NCT01436968,ACTIVE_NOT_RECRUITING,Prostate Cancer,BIOLOGICAL: Aglatimagene besadenovec + valacyclovir|BIOLOGICAL: Placebo + valacyclovir,"Candel Therapeutics, Inc.",None listed,MALE,"ADULT, OLDER_ADULT",PHASE3,711,INDUSTRY,INTERVENTIONAL,"Allocation: RANDOMIZED | Intervention Model: PARALLEL | Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR) | Primary Purpose: TREATMENT",1,1,0,,,
